Date,Security1,Security2,Security3,Security4,Security5,Security6,Security7,Security8,Security9,Security10
03/01/2000,13.55152,10.82238,70.59967,0.49146,9.04134,3.72381,3.80368,5.30353,12.86111,1.10522
04/01/2000,13.82656,10.67541,70.40951,0.49494,9.00002,3.68354,3.68332,5.20814,12.5613,1.27809
05/01/2000,13.86835,10.45438,72.24454,0.49486,8.45373,3.68939,3.63646,4.97688,11.96505,1.20986
06/01/2000,14.57976,10.45438,73.85365,0.49486,8.11609,3.59085,3.63262,4.97688,11.60774,1.14318
07/01/2000,15.41104,10.86981,76.18781,0.49486,8.4217,3.67815,3.63624,5.08773,11.96552,1.12245
10/01/2000,15.77202,10.73403,73.95099,0.49401,8.66084,3.6013,3.59437,5.09881,11.87515,1.12245
11/01/2000,15.61924,10.42608,74.60773,0.48893,8.62347,3.63795,3.60849,5.12788,11.66667,1.20337
12/01/2000,15.25215,10.30687,72.20188,0.49455,8.91694,3.60195,3.66901,5.17894,11.45789,1.22885
13/01/2000,14.75289,10.1917,74.63364,0.51146,8.50133,3.5496,3.75347,5.26587,11.51741,1.37349
14/01/2000,14.45399,10.33634,74.23931,0.49778,8.35785,3.55799,3.72691,5.2747,11.4878,1.40531
17/01/2000,14.59406,10.02142,75.8998,0.49778,8.30229,3.4275,3.75333,5.28956,11.48795,1.4007
18/01/2000,14.43425,9.53165,74.92248,0.49778,8.25063,3.3747,3.76794,5.21039,11.42798,1.60057
19/01/2000,14.38919,9.53165,74.70225,0.49776,7.89164,3.2735,3.72076,5.17168,11.09991,1.60102
20/01/2000,14.70408,9.77693,74.48851,0.48632,8.23783,3.32736,3.66455,5.16214,10.9222,1.53271
21/01/2000,14.95098,9.39897,72.46233,0.4818,8.10488,3.41528,3.67157,5.09611,10.77284,1.42788
24/01/2000,14.40957,9.4356,70.28688,0.47818,7.74554,3.3126,3.60567,4.98979,11.04011,1.48952
25/01/2000,14.14752,9.45537,68.51167,0.47997,7.3803,3.25762,3.56066,4.9081,10.77298,1.42214
26/01/2000,14.53136,9.66594,69.20285,0.47997,7.5145,3.32607,3.53238,4.9326,10.86072,1.42098
27/01/2000,13.95909,9.58543,68.20441,0.47997,7.75081,3.17235,3.4847,4.90879,11.06901,1.41286
